#roi_key,roi_name,roi_latitudes,roi_longitudes_east
JUICE_ROI_CAL_1_0_01,Keelut,[-81.0 -81.0 -72.0 -72.0],[260.0 278.0 278.0 260.0]
JUICE_ROI_CAL_1_0_02,Fulla,[53.0 53.0 85.0 85.0],[229.0 263.5 263.5 229.0]
JUICE_ROI_CAL_1_0_03,Sköll,[53.0 53.0 85.0 85.0],[42.0 77.0 77.0 42.0]
JUICE_ROI_CAL_1_0_04,nn,[-85.0 -85.0 -53.0 -53.0],[229.0 263.5 263.5 229.0]
JUICE_ROI_CAL_1_0_05,nn,[61.0 61.0 76.0 76.0],[322.0 345.0 345.0 322.0]
JUICE_ROI_CAL_1_0_06,nn,[-78.0 -78.0 -54.0 -54.0],[118.0 148.0 148.0 118.0]
JUICE_ROI_CAL_1_0_07,nn,[-85.0 -85.0 -53.0 -53.0],[42.0 77.0 77.0 42.0]
JUICE_ROI_CAL_3_0_01,Jalkr,[-42.0 -42.0 -35.0 -35.0],[273.0 281.0 281.0 273.0]
JUICE_ROI_CAL_3_0_02,Yuryung,[-57.0 -57.0 -52.0 -52.0],[271.0 278.0 278.0 271.0]
JUICE_ROI_CAL_3_0_03,Biflindi,[-56.0 -56.0 -50.0 -50.0],[282.5 289.5 289.5 282.5]
JUICE_ROI_CAL_3_0_04,Nakki,[-59.0 -59.0 -53.0 -53.0],[287.0 294.0 294.0 287.0]
JUICE_ROI_CAL_3_0_05,nn,[-45.0 -45.0 -40.5 -40.5],[288.0 292.5 292.5 288.0]
JUICE_ROI_CAL_4_1_01,nn,[34.0 34.0 39.0 39.0],[353.0 359.0 359.0 353.0]
JUICE_ROI_CAL_4_1_02,nn,[48.0 48.0 57.0 57.0],[5.0 15.0 15.0 5.0]
JUICE_ROI_CAL_4_1_03,nn,[0.0 0.0 10.0 10.0],[5.0 15.0 15.0 5.0]
JUICE_ROI_CAL_4_2_01,Sigyn,[31.0 31.0 39.0 39.0],[328.0 337.0 337.0 328.0]
JUICE_ROI_CAL_4_2_02,Hoenir,[-36.0 -36.0 -29.0 -29.0],[96.0 103.0 103.0 96.0]
JUICE_ROI_CAL_4_2_03,nn,[-42.5 -42.5 -35.0 -35.0],[93.0 102.0 102.0 93.0]
JUICE_ROI_CAL_4_2_04,nn,[11.0 11.0 15.5 15.5],[330.0 335.0 335.0 330.0]
JUICE_ROI_CAL_4_2_05,Tindr,[-8.0 -8.0 2.0 2.0],[357.0 10.0 10.0 357.0]
JUICE_ROI_CAL_4_3_01,Debegey,[3.0 3.0 13.0 13.0],[191.0 201.0 201.0 191.0]
JUICE_ROI_CAL_4_3_02,Njord,[13.0 13.0 19.5 19.5],[225.5 231.5 231.5 225.5]
JUICE_ROI_CAL_4_3_03,Barri,[-34.0 -34.0 -28.5 -28.5],[287.0 296.0 296.0 287.0]
JUICE_ROI_CAL_4_3_04,Oluksak,[-50.0 -50.0 -45.0 -45.0],[294.0 300.0 300.0 294.0]
JUICE_ROI_CAL_4_3_05,Nerrivik,[-21.0 -21.0 -10.0 -10.0],[298.0 309.0 309.0 298.0]
JUICE_ROI_CAL_4_3_06,Nori,[42.0 42.0 51.0 51.0],[11.0 22.0 22.0 11.0]
JUICE_ROI_CAL_4_3_07,Grimr,[37.0 37.0 46.0 46.0],[140.0 152.0 152.0 140.0]
JUICE_ROI_CAL_4_3_08,Alfr,[-12.0 -12.0 -5.0 -5.0],[134.0 143.0 143.0 134.0]
JUICE_ROI_CAL_4_3_09,Loni,[-7.0 -7.0 -1.0 -1.0],[142.0 150.0 150.0 142.0]
JUICE_ROI_CAL_4_3_10,nn,[23.0 23.0 32.0 32.0],[271.0 280.0 280.0 271.0]
JUICE_ROI_CAL_4_3_11,nn,[-13.0 -13.0 -1.0 -1.0],[284.0 298.0 298.0 284.0]
JUICE_ROI_CAL_4_4_01,Valfödr,[-5.0 -5.0 3.0 3.0],[109.0 118.0 118.0 109.0]
JUICE_ROI_CAL_4_4_02,nn,[48.5 48.5 59.0 59.0],[273.0 285.0 285.0 273.0]
JUICE_ROI_CAL_4_4_03,nn,[19.0 19.0 23.0 23.0],[319.5 324.0 324.0 319.5]
JUICE_ROI_CAL_4_4_04,nn,[-13.0 -13.0 -7.0 -7.0],[329.0 337.0 337.0 329.0]
JUICE_ROI_CAL_4_5_01,Kol Facula,[-3.0 -3.0 14.0 14.0],[68.0 87.0 87.0 68.0]
JUICE_ROI_CAL_4_5_02,nn,[-31.0 -31.0 -18.0 -18.0],[195.5 209.0 209.0 195.5]
JUICE_ROI_CAL_4_5_03,nn,[-39.0 -39.0 -25.5 -25.5],[221.0 239.5 239.5 221.0]
JUICE_ROI_CAL_4_6_01,Asgard,[22.0 22.0 40.0 40.0],[210.0 230.0 230.0 210.0]
JUICE_ROI_CAL_4_6_02,Valhalla,[-1.0 -1.0 30.0 30.0],[289.0 317.0 317.0 289.0]
JUICE_ROI_CAL_4_6_03,Adlinda,[-57.0 -57.0 -36.0 -36.0],[314.0 338.0 338.0 314.0]
JUICE_ROI_CAL_4_7_01,Svol Catena,[8.0 8.0 13.0 13.0],[321.0 326.0 326.0 321.0]
JUICE_ROI_CAL_4_7_02,Gomul Catena,[30.0 30.0 39.0 39.0],[307.0 321.0 321.0 307.0]
JUICE_ROI_CAL_4_7_03,Eikin Catena,[-14.0 -14.0 -2.0 -2.0],[337.0 350.0 350.0 337.0]
JUICE_ROI_CAL_4_7_04,Gipul Catena,[59.0 59.0 80.0 80.0],[292.0 330.0 330.0 292.0]
JUICE_ROI_CAL_4_7_05,nn,[37.0 37.0 44.0 44.0],[24.0 30.0 30.0 24.0]
JUICE_ROI_CAL_4_7_06,nn,[-34.0 -34.0 -25.0 -25.0],[55.0 63.0 63.0 55.0]
JUICE_ROI_CAL_5_0_01,Ljekio,[47.0 47.0 52.0 52.0],[196.0 201.0 201.0 196.0]
JUICE_ROI_CAL_5_0_02,Nirkes,[28.0 28.0 35.5 35.5],[192.0 201.0 201.0 192.0]
JUICE_ROI_CAL_5_0_03,Egres,[39.0 39.0 47.0 47.0],[181.0 188.0 188.0 181.0]
JUICE_ROI_CAL_5_0_04,Burr,[40.0 40.0 50.0 50.0],[220.0 232.0 232.0 220.0]
JUICE_ROI_CAL_5_0_05,Tornarsuk,[27.0 27.0 32.0 32.0],[230.0 236.0 236.0 230.0]
JUICE_ROI_CAL_5_0_06,Agloolik,[-52.0 -52.0 -44.0 -44.0],[272.0 284.0 284.0 272.0]
JUICE_ROI_CAL_5_0_07,Lofn,[-69.0 -69.0 -46.0 -46.0],[325.0 350.0 350.0 325.0]
JUICE_ROI_CAL_5_0_08,Heimdall,[-75.0 -75.0 -50.0 -50.0],[353.0 23.0 23.0 353.0]
JUICE_ROI_CAL_5_0_09,Bran,[-30.0 -30.0 -17.0 -17.0],[145.0 163.0 163.0 145.0]
JUICE_ROI_CAL_5_0_10,Igaluk,[1.0 1.0 11.5 11.5],[39.0 50.0 50.0 39.0]
JUICE_ROI_CAL_5_0_11,Askr,[48.0 48.0 56.0 56.0],[32.0 43.0 43.0 32.0]
JUICE_ROI_CAL_5_0_12,Gloi,[41.0 41.0 58.0 58.0],[107.0 125.0 125.0 107.0]
JUICE_ROI_CAL_5_0_13,Vili,[30.0 30.0 37.0 37.0],[139.5 148.5 148.5 139.5]
JUICE_ROI_CAL_5_0_14,nn,[10.0 10.0 16.0 16.0],[205.0 211.0 211.0 205.0]
JUICE_ROI_CAL_5_0_15,nn,[-25.0 -25.0 -16.0 -16.0],[215.0 224.0 224.0 215.0]
JUICE_ROI_CAL_5_0_16,nn,[-26.0 -26.0 -20.0 -20.0],[110.0 117.0 117.0 110.0]
JUICE_ROI_CAL_5_0_17,nn,[55.0 55.0 64.0 64.0],[167.0 180.0 180.0 167.0]
JUICE_ROI_CAL_5_0_18,nn,[-10.5 -10.5 -2.0 -2.0],[46.0 55.0 55.0 46.0]
JUICE_ROI_CAL_5_0_19,nn,[-53.0 -53.0 -41.0 -41.0],[151.0 163.0 163.0 151.0]
JUICE_ROI_CAL_5_0_20,nn,[16.0 16.0 23.0 23.0],[128.0 135.0 135.0 128.0]
JUICE_ROI_CAL_6_1_01,nn,[-8.0 -8.0 7.0 7.0],[157.0 174.0 174.0 157.0]
JUICE_ROI_CAL_6_1_02,nn,[-55.0 -55.0 -41.0 -41.0],[300.0 315.0 315.0 300.0]
JUICE_ROI_CAL_6_1_03,nn,[-30.0 -30.0 -13.0 -13.0],[4.0 23.0 23.0 4.0]
JUICE_ROI_CAL_6_1_04,Valhalla II,[27.0 27.0 40.0 40.0],[275.0 288.0 288.0 275.0]
JUICE_ROI_CAL_6_1_05,nn,[-17.0 -17.0 2.0 2.0],[65.0 85.0 85.0 65.0]
JUICE_ROI_CAL_6_1_06,nn,[10.0 10.0 25.0 25.0],[70.0 87.0 87.0 70.0]
JUICE_ROI_CAL_6_1_07,nn,[-51.0 -51.0 -31.0 -31.0],[24.0 48.0 48.0 24.0]
JUICE_ROI_CAL_6_1_08,Asgard II,[20.0 20.0 40.0 40.0],[233.0 253.0 253.0 233.0]
JUICE_ROI_CAL_6_1_09,Valhalla III,[-1.0 -1.0 9.5 9.5],[323.0 334.0 334.0 323.0]
JUICE_ROI_CAL_7_0_01,nn,[13.0 13.0 27.0 27.0],[158.0 176.0 176.0 158.0]
JUICE_ROI_CAL_7_0_02,nn,[13.0 13.0 22.0 22.0],[13.0 22.0 22.0 13.0]
JUICE_ROI_CAL_7_0_03,nn,[-14.0 -14.0 1.0 1.0],[191.0 208.0 208.0 191.0]
JUICE_ROI_CAL_7_0_04,nn,[-13.0 -13.0 0.0 0.0],[225.0 238.0 238.0 225.0]
JUICE_ROI_CAL_7_0_05,nn,[-28.0 -28.0 -18.0 -18.0],[350.0 360.0 360.0 350.0]
JUICE_ROI_CAL_7_0_06,nn,[12.0 12.0 22.0 22.0],[355.0 8.0 8.0 355.0]
JUICE_ROI_CAL_7_0_07,nn,[21.0 21.0 35.0 35.0],[47.0 62.0 62.0 47.0]
JUICE_ROI_CAL_7_0_08,nn,[-18.5 -18.5 9.0 9.0],[247.0 275.5 275.5 247.0]
JUICE_ROI_CAL_7_0_09,nn,[25.0 25.0 42.0 42.0],[90.0 111.0 111.0 90.0]
