#roi_key,roi_name,roi_latitudes,roi_longitudes_east
JUICE_ROI_GAN_1_0_01,Harakhtes,[34. 34. 46. 46.],[252. 268. 268. 252.]
JUICE_ROI_GAN_1_0_02,Xibalba Sulcus,[31. 31. 46. 46.],[270. 292. 292. 270.]
JUICE_ROI_GAN_1_0_03,Osiris,[-62. -62. -27. -27.],[167. 210. 210. 167.]
JUICE_ROI_GAN_1_0_04,Ptah,[-80. -80. -52. -52.],[125. 156. 156. 125.]
JUICE_ROI_GAN_1_0_05,Tashmetum,[-53. -53. -27. -27.],[ 75. 110. 110.  75.]
JUICE_ROI_GAN_1_0_06,Hershef,[37. 37. 56. 56.],[ 77. 102. 102.  77.]
JUICE_ROI_GAN_1_0_07,Galileo Regio,[37. 37. 57. 57.],[208. 229. 229. 208.]
JUICE_ROI_GAN_1_0_08,None,[61. 61. 83. 83.],[47. 67. 67. 47.]
JUICE_ROI_GAN_1_0_09,None,[60. 60. 85. 85.],[155. 187. 187. 155.]
JUICE_ROI_GAN_1_0_10,None,[62. 62. 83. 83.],[297. 323. 323. 297.]
JUICE_ROI_GAN_1_0_11,None,[-85. -85. -59. -59.],[340.  17.  17. 340.]
JUICE_ROI_GAN_1_0_12,None,[62. 62. 83. 83.],[243. 272. 272. 243.]
JUICE_ROI_GAN_1_0_13,None,[73. 73. 83. 83.],[333. 348. 348. 333.]
JUICE_ROI_GAN_1_0_14,Hamra Patera,[-84. -84. -70. -70.],[182. 196. 196. 182.]
JUICE_ROI_GAN_1_0_15,Adapa,[67. 67. 77. 77.],[323. 335. 335. 323.]
JUICE_ROI_GAN_1_0_16,None,[66. 66. 74. 74.],[351.   2.   2. 351.]
JUICE_ROI_GAN_1_0_17,Etana,[70. 70. 79. 79.],[14. 25. 25. 14.]
JUICE_ROI_GAN_1_0_18,Kishar,[67. 67. 78. 78.],[ 2. 14. 14.  2.]
JUICE_ROI_GAN_1_0_19,Hathor,[-76. -76. -58. -58.],[ 82. 102. 102.  82.]
JUICE_ROI_GAN_2_0_01,Hammamat Patera,[-28. -28. -20. -20.],[38. 45. 45. 38.]
JUICE_ROI_GAN_2_0_02,Natrun/Rum Patera,[-32. -32. -26. -26.],[173. 178. 178. 173.]
JUICE_ROI_GAN_2_0_03,None,[-31. -31. -26. -26.],[176. 181. 181. 176.]
JUICE_ROI_GAN_2_0_04,Musa Patera,[-34. -34. -28. -28.],[167. 173. 173. 167.]
JUICE_ROI_GAN_2_0_05,Yaroun Patera,[-50. -50. -43. -43.],[214. 222. 222. 214.]
JUICE_ROI_GAN_2_0_07,None,[-31. -31. -25. -25.],[182. 186. 186. 182.]
JUICE_ROI_GAN_2_0_08,None,[-31. -31. -26. -26.],[186. 191. 191. 186.]
JUICE_ROI_GAN_2_0_09,None,[-34. -34. -30. -30.],[163. 167. 167. 163.]
JUICE_ROI_GAN_2_0_10,None,[42. 42. 47. 47.],[46. 54. 54. 46.]
JUICE_ROI_GAN_2_0_11,None,[-19. -19. -14. -14.],[146. 151. 151. 146.]
JUICE_ROI_GAN_2_0_12,None,[0. 0. 4. 4.],[34. 39. 39. 34.]
JUICE_ROI_GAN_2_0_13,None,[11. 11. 14. 14.],[45. 49. 49. 45.]
JUICE_ROI_GAN_2_0_14,None,[41. 41. 45. 45.],[34. 38. 38. 34.]
JUICE_ROI_GAN_2_0_15,None,[-15. -15. -11. -11.],[214. 219. 219. 214.]
JUICE_ROI_GAN_2_0_16,None,[-21. -21. -18. -18.],[214. 218. 218. 214.]
JUICE_ROI_GAN_2_0_17,None,[24. 24. 29. 29.],[32. 37. 37. 32.]
JUICE_ROI_GAN_2_0_18,Sippar Sulcus,[-19. -19. -14. -14.],[182. 186. 186. 182.]
JUICE_ROI_GAN_3_0_01,Kittu,[-4.  -4.   6.5  6.5],[22.  27.5 27.5 22. ]
JUICE_ROI_GAN_3_0_02,Tammuz,[10. 10. 19. 19.],[123. 136. 136. 123.]
JUICE_ROI_GAN_3_0_03,Antum,[1.9 1.9 8.8 8.8],[136. 145. 145. 136.]
JUICE_ROI_GAN_3_0_04,Mir,[-7. -7. -1. -1.],[124. 132. 132. 124.]
JUICE_ROI_GAN_3_0_05,None,[ 2.5  2.5 10.  10. ],[121. 132. 132. 121.]
JUICE_ROI_GAN_3_0_06,We-Ila,[-17. -17.  -8.  -8.],[65. 76. 76. 65.]
JUICE_ROI_GAN_3_0_07,Khensu,[-1. -1.  3.  3.],[205. 209. 209. 205.]
JUICE_ROI_GAN_3_0_08,None,[20. 20. 23. 23.],[172. 175. 175. 172.]
JUICE_ROI_GAN_3_0_09,Humbaba,[-60. -60. -48. -48.],[286. 296. 296. 286.]
JUICE_ROI_GAN_3_0_10,None,[30. 30. 34. 34.],[2. 6. 6. 2.]
JUICE_ROI_GAN_3_0_11,None,[2. 2. 6. 6.],[ 8. 13. 13.  8.]
JUICE_ROI_GAN_3_0_12,None,[-31. -31. -27. -27.],[24. 28. 28. 24.]
JUICE_ROI_GAN_3_0_13,None,[-14. -14.  -8.  -8.],[282. 287. 287. 282.]
JUICE_ROI_GAN_3_0_14,None,[-0.5 -0.5  3.5  3.5],[259.5 263.5 263.5 259.5]
JUICE_ROI_GAN_4_1_01,None,[52. 52. 60. 60.],[32. 42. 42. 32.]
JUICE_ROI_GAN_4_1_02,Maa,[-2. -2.  5.  5.],[153. 162. 162. 153.]
JUICE_ROI_GAN_4_1_03,None,[40. 40. 50. 50.],[110. 120. 120. 110.]
JUICE_ROI_GAN_4_1_04,None,[-36. -36. -24. -24.],[327. 339. 339. 327.]
JUICE_ROI_GAN_4_2_01,Ninlil,[ 2.  2. 11. 11.],[236. 248. 248. 236.]
JUICE_ROI_GAN_4_2_02,None,[-17. -17.  -9.  -9.],[257. 266. 266. 257.]
JUICE_ROI_GAN_4_2_03,Lugalmeslam,[19. 19. 28. 28.],[156. 169. 169. 156.]
